nombre,poblacion,superficie,continente
Argentina,60000002,3000002,America
Brasil,213993437,8515767,America
Japon,125800000,377975,Asia
Alemania,83149300,357022,Europa
Arabia Saudita,35000000,2150000,Asia
Sudáfrica,45000000,1900000,Africa
Sudán,43000000,1861484,Africa
Venezuela,35000000,2000000,America
México,128000000,1964375,America
India,1417000000,3287263,Asia
Australia,26400000,7692024,Oceania
Italia,58940000,301340,Europa
Canadá,39000000,9984670,America
Egipto,104000000,1002000,Africa
Rusia,144000000,17098242,Asia
Peru,120000,10,America
Uruguay,200,5000,Africa
Francia,60000000,640000,Europa
andorra,100000,10000,America
